Item,Count,Price,Link
MPR121QR2,1,1,https://www.aliexpress.us/item/3256806758406295.html?spm=a2g0o.productlist.main.2.7e0412b9EtDNVl&algo_pvid=eafccd20-c0fd-424a-9dd6-ea9bfc0fcca1&algo_exp_id=eafccd20-c0fd-424a-9dd6-ea9bfc0fcca1-1&pdp_ext_f=%7B%22order%22%3A%2214%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%215.00%210.99%21%21%2134.24%216.77%21%4021033d9d17740323564578310e7fe8%2112000038814594709%21sea%21US%216217402649%21ACX%211%210%21n_tag%3A-29919%3Bd%3A221f5d52%3Bm03_new_user%3A-29894%3BpisId%3A5000000197836304&curPageLogUid=pTX3BiAzX3DO&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006944721047%7C_p_origin_prod%3A
PCM5102A I2S DAC board,1,2.28,https://www.aliexpress.us/item/3256808911242738.html?spm=a2g0o.productlist.main.8.8ac93f3eYvQHVM&aem_p4p_detail=2026032011463617144907392728850000825406&algo_pvid=92ec413b-09a5-46b5-939e-2aa1ed49a834&algo_exp_id=92ec413b-09a5-46b5-939e-2aa1ed49a834-7&pdp_ext_f=%7B%22order%22%3A%22582%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.85%212.28%21%21%2119.52%2115.62%21%40210318a717740323969286962eccde%2112000047902067203%21sea%21US%216217402649%21ACX%211%210%21n_tag%3A-29919%3Bd%3A221f5d52%3Bm03_new_user%3A-29894&curPageLogUid=evOArS7vqeJX&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009097557490%7C_p_origin_prod%3A&search_p4p_id=2026032011463617144907392728850000825406_2
"2.0"" TFT LCD ST7789 display",1,3.76,https://www.aliexpress.us/item/3256808604687621.html?spm=a2g0o.productlist.main.2.4f664cdbgf87jX&algo_pvid=18b00539-4cba-438c-a5cc-28074d8116e6&algo_exp_id=18b00539-4cba-438c-a5cc-28074d8116e6-1&pdp_ext_f=%7B%22order%22%3A%22594%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.76%210.99%21%21%213.76%210.99%21%40210328db17740324413657669e0da7%2112000051614741164%21sea%21US%216217402649%21ACX%211%210%21n_tag%3A-29919%3Bd%3A221f5d52%3Bm03_new_user%3A-29894%3BpisId%3A5000000197836333&curPageLogUid=fdDO3YdVQrhY&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008791002373%7C_p_origin_prod%3A
WH148 potentiometer,10,4.02,https://www.aliexpress.us/item/3256808118980669.html?spm=a2g0o.productlist.main.3.39d924c1y9c85I&algo_pvid=0e278dab-4995-4566-850d-b398abce1ee8&algo_exp_id=0e278dab-4995-4566-850d-b398abce1ee8-2&pdp_ext_f=%7B%22order%22%3A%2255%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%214.02%210.99%21%21%2127.53%216.81%21%40210318a717740325501147526eccc1%2112000044558095291%21sea%21US%216217402649%21ACX%211%210%21n_tag%3A-29919%3Bd%3A221f5d52%3Bm03_new_user%3A-29894%3BpisId%3A5000000197836333&curPageLogUid=byGJ2gZeQC04&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008305295421%7C_p_origin_prod%3A
EC11 rotary encoder (w/ push button),1,0.65,https://www.aliexpress.us/item/2261799870168498.html?spm=a2g0o.productlist.main.17.66895f490AnH6H&algo_pvid=b5d7a029-7831-4807-9e87-63d65f3abea5&algo_exp_id=b5d7a029-7831-4807-9e87-63d65f3abea5-16&pdp_ext_f=%7B%22order%22%3A%222718%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.61%210.99%21%21%213.61%210.99%21%402103122117740325931918413ea45f%2112000046133170759%21sea%21US%216217402649%21ACX%211%210%21n_tag%3A-29919%3Bd%3A221f5d52%3Bm03_new_user%3A-29894%3BpisId%3A5000000197836245&curPageLogUid=hjV5hj8fpuzV&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A10000056483250%7C_p_origin_prod%3A
KY-023 joystick module,1,1.25,https://www.aliexpress.us/item/3256807353588090.html?spm=a2g0o.productlist.main.11.4b2d688fbrwTvK&algo_pvid=d9ccc433-993c-46be-a3f4-227a0e713225&algo_exp_id=d9ccc433-993c-46be-a3f4-227a0e713225-10&pdp_ext_f=%7B%22order%22%3A%221323%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005007539902842%22%2C%22orig_item_id%22%3A%221005008093342854%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.60%211.25%21%21%2117.78%218.53%21%402101d6fe17740327125242883e1819%2112000041213504403%21sea%21US%216217402649%21ACX%211%210%21n_tag%3A-29919%3Bd%3A221f5d52%3Bm03_new_user%3A-29894&curPageLogUid=3KMLlz3LYJ8L&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007539902842%7C_p_origin_prod%3A1005008093342854
Raspberry Pi Pico,1,3.95,https://www.pishop.us/product/raspberry-pi-pico/?src=raspberrypi
M3 heatset inserts 3x5x4,8,0.32,https://www.aliexpress.us/item/3256806651793931.html?spm=a2g0o.productlist.main.8.704aecb8Cwx4tR&aem_p4p_detail=20260320115445638911425737500000886465&algo_pvid=57f46a77-ecbc-488f-af07-5cc45b517b5b&algo_exp_id=57f46a77-ecbc-488f-af07-5cc45b517b5b-7&pdp_ext_f=%7B%22order%22%3A%227913%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.83%210.99%21%21%2126.23%216.74%21%40210337c117740328855282444e76a2%2112000038467725119%21sea%21US%216217402649%21ACX%211%210%21n_tag%3A-29919%3Bd%3A221f5d52%3Bm03_new_user%3A-29894%3BpisId%3A5000000197836333&curPageLogUid=qsMqfJvH4nXo&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006838108683%7C_p_origin_prod%3A&search_p4p_id=20260320115445638911425737500000886465_2
M3x8 screws,8,0.32,https://www.aliexpress.us/item/3256804883804669.html?spm=a2g0o.productlist.main.13.8e105e554LjBJU&algo_pvid=bbac4097-49c5-43bd-82ef-64376d0e5b79&algo_exp_id=bbac4097-49c5-43bd-82ef-64376d0e5b79-12&pdp_ext_f=%7B%22order%22%3A%2246671%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.31%210.99%21%21%211.31%210.99%21%402101eecd17740329278401261e33ed%2112000031519353259%21sea%21US%216217402649%21ACX%211%210%21n_tag%3A-29919%3Bd%3A221f5d52%3Bm03_new_user%3A-29894%3BpisId%3A5000000197836290&curPageLogUid=Ex37TlD5EHOc&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005070119421%7C_p_origin_prod%3A
"3D printed parts (12 pads, 9 knobs, top & bottom case)",23,-,-
PCB,1,2.76,https://cart.jlcpcb.com/quote?stencilLayer=2&stencilWidth=144&stencilLength=169&stencilCounts=5&plateType=1&spm=Jlcpcb.Homepage.1010
Total,-,20.31,